ID,Name,Description,Owner.ID,Owner.Rest,Tracks.Href,Tracks.Total,Rest
3GQvWmRokqJwznx1UnCV3x,Freshhhhhhh,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3GQvWmRokqJwznx1UnCV3x/tracks,11,null
2Skzy80HPlEXA8aTEQNT2q,Summer daze,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2Skzy80HPlEXA8aTEQNT2q/tracks,29,null
3rwIS5NmrhDnavXZeVANLb,With cream and sprinkles please,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3rwIS5NmrhDnavXZeVANLb/tracks,16,null
2OKvpEfiKi7M4Togs6R5Sb,Real,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2OKvpEfiKi7M4Togs6R5Sb/tracks,5,null
35odHR39rJ7SSmWq7tKnHw,Fight the power,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/35odHR39rJ7SSmWq7tKnHw/tracks,15,null
5OBtC1cMXVzl7CWIxdt9XN,Dreamer's songs,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5OBtC1cMXVzl7CWIxdt9XN/tracks,20,null
4Lim5Xu96b94YGcp8Jh0CM,Saxophones are fucking metal,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4Lim5Xu96b94YGcp8Jh0CM/tracks,16,null
5VLuLY3J5TWjGgrs1eMHfh,Ragnarok!,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5VLuLY3J5TWjGgrs1eMHfh/tracks,20,null
3K7gK7CLiTKnxYp2i5XWJK,Mixes electronic/funk/house,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3K7gK7CLiTKnxYp2i5XWJK/tracks,39,null
5qZccsAKPK0Ci4BbR2kLqt,Bad dream,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5qZccsAKPK0Ci4BbR2kLqt/tracks,3,null
1OAeITnECQWTIuIfAQ8O5b,Summer rewind without the metal,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1OAeITnECQWTIuIfAQ8O5b/tracks,39,null
3ayyDu8aFpQRx6ww5KGvfN,Herfst,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3ayyDu8aFpQRx6ww5KGvfN/tracks,30,null
5FG2asOtrBBWVnScNKhcpB,Lente,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5FG2asOtrBBWVnScNKhcpB/tracks,22,null
4GXLv3X23R1q6UVDmWElI3,Winter,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/4GXLv3X23R1q6UVDmWElI3/tracks,73,null
6mLEofvxCNxz3ksv7GE8Ae,Zomer,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6mLEofvxCNxz3ksv7GE8Ae/tracks,61,null
